Dog,Cat,Rabbit,Parrot,
Mixed Breed,Mixed Breed / Moggie,Mixed Breed / Other / Unknown,Andean parakeet,
Afador,Abyssinian,Alaska,Austral parakeet,
Affenhuahua,Aegean,Altex,Australian king parrot,
Affenpinscher,American  hair,American Chinchilla,Australian ringneck,
Afghan Hound,American Bobtail,American Fuzzy Lop,Aztec parakeet,
Airedale Terrier,American Curl,American Rabbit,Barred parakeet,
Akbash,American Shorthair,American Sable,Black-collared lovebird,
Akita,American Wirehair,Angora Rabbit,Black-fronted fig parrot,
Akita Chow,Aphrodite Giant,Argente Bleu,Black-headed parrot,
Akita Pit,Arabian Mau,Argente Brun,Black-legged parrot,
Akita Shepherd,Arctic Curl,Argente Clair,Black-winged lovebird,
Alapaha Blue Blood Bulldog,Asian,Argente Creme,Black-winged parrot,
Alaskan Klee Kai,Australian Mist,Argente de Champagne,Blood-eared parakeet,
Alaskan Malamute,Balinese,Argente rabbit,Blue-and-yellow macaw,
Alentejo Mastiff                ,Bambino,Argente St Hubert,Blue-backed parrot,
Alpine Dachsbracke             ,Bengal,Baladi,Blue-crowned parakeet,
American Akita                   ,Bengal Cats,Belgian Hare,Blue-fronted fig parrot,
American Bulldog,Birman,Beveren Rabbit,Blue-fronted parrotlet,
American Bully,Bombay,Blanc de Bouscat,Blue-headed parrot,
American Cocker Spaniel                   ,Bramble,Blanc de Hotot,Blue-winged parakeet,
American English Coonhound,Brazilian Shorthair,Blanc de Popielno,Bonaparte's parakeet,
American Eskimo Dog,British Longhair,Blanc de Termonde,Bourke's parrot,
American Foxhound,British Shorthair,Blue of Ham,Bronze-winged parrot,
American Hairless Terrier,Burmese,Blue of Sint Niklaas,Brown-headed parrot,
American Leopard Hound,Burmilla,Bourbonnais Grey,Brown-hooded parrot,
American Pit Bull Terrier,California Spangled,Britannia Petite,Brown-necked parrot,
American Pugabull,Chantilly-Tiffany,British Giant,Brown-throated parakeet,
American Staffordshire Terrier,Chartreux,Brown Chestnut of Lorraine,Budgerigar,
American Water Spaniel,Chausie,Caldes,Burrowing parrot,
Anatolian Shepherd             ,Chinchilla,Californian rabbit,Buru racket-tail,
Anglo-Français de Petite Vénerie                ,Colorpoint Shorthair,Cashmere Lop,Caatinga parakeet,
Appenzeller Sennenhunde,Cornish Rex,Champagne d'Argent,Chestnut-fronted macaw,
Ardennes Cattle Dog                   ,Cyprus,Checkered Giant,Cobalt-rumped parrotlet,
Argentine Mastiff                ,Devon Rex,Checkered Giant rabbit,Cobalt-winged parakeet,
Ariege Pointer             ,Domestic  hair,Chinchilla,Cockatiel,
Ariegeois                ,Donskoy,Chinchilla Giganta,Crimson rosella,
Artesian Norman Basset                   ,Dwelf,Cinnamon Rabbit,Dusky parrot,
Artois Hound                   ,Egyptian Mau,Continental Giant,Dusky-billed parrotlet,
Atlas Mountain Dog                ,European Shorthair,Creme d'Argent,Dusky-cheeked fig parrot,
Auggie,Exotic  hair,Cuban Brown,Dusky-headed parakeet,
Aussiedoodle,Foldex,Czech Red,Eastern bluebonnet,
Aussiepom,German Rex,Czech Spot,Eastern rosella,
Australian Cattle Dog,Havana Brown,Czech White,Elegant parrot,
Australian Kelpie,Highlander,Dalmatian,Fiery-shouldered parakeet,
Australian Retriever,Himalayan,Deilenaar,Finsch's parakeet,
Australian Shepherd,Japanese Bobtail,Dutch Rabbit,Golden-collared macaw,
Australian Shepherd Husky,Javanese,Dwarf Hotot,Golden-winged parakeet,
Australian Shepherd Lab Mix,Keetso,Dwarf Lop,Gray-headed lovebird,
Australian Shepherd Pit Bull Mix,Khao Manee,English Angora,Gray-hooded parakeet,
Australian Silky Terrier                ,Korat,English Lop,Green parakeet,
Australian Stumpy Tail Cattle Dog,Korean Bobtail,English Spot,Green rosella,
Australian Terrier,Korn Ja,Fauve de Bourgogne,Green-cheeked parakeet,
Austrian Pinscher                ,Kurilian Bobtail,Fee  de Marbourg,Green-rumped parrotlet,
Auvergne Pointer             ,LaPerm,Flemish Giant Rabbit,Ground parrot,
Azawakh,Lykoi,Florida White Rabbit,Hooded parrot,
Barbet,Maine Coon,French Angora Rabbit,Jandaya parakeet,
Basenji,Mandarin Cat,French Lop,Layard's parakeet,
Bassador,Manx,Gabali,Lilac-tailed parrotlet,
Basset Blue De Gascogne,Minskin,German Angora,Major Mitchell's cockatoo,
Basset Fauve de Bretagne,Munchkin,German Lop,Maroon shining parrot,
Basset Griffon Vendeen,Mekong Bobtail,Giant Angora,Maroon-bellied parakeet,
Basset Hound,Napoleon,Giant Chinchilla,Maroon-tailed parakeet,
Basset Retriever,Nebelung,Giant Papillon,Meyer's parrot,
Bavarian Mountain Scent Hound,Norwegian Forest Cat,Golden Glavcot,Mitred parakeet,
Beabull,Ocicat,Gotland Rabbit,Moluccan eclectus,
Beagle,Ojos Azules,Grey Pearl of Halle,Harlequin Dutch,Moluccan king parrot
Beagle Harrier                ,Oregon Rex,Harlequin Rabbit,Mountain parakeet,
Beaglier,Oriental Bicolor,Havana Rabbit,Mulga parrot,
Bearded Collie,Persian,Himalayan Rabbit,Nanday parakeet,
Beauceron                ,Peterbald,Holland Lop,Niam-Niam parrot,
Bedlington Terrier,Pixie-Bob,Hulstlander Rabbit,Northern Red-shouldered Macaw,
Belgian Griffon                ,RagaMuffin,Hungarian Giant,Northern rosella,
Belgian Laekenois,Ragdoll,Japanese White,Orange-chinned parakeet,
Belgian Malinois,Ragdoll Cats,Jersey Wooly,Orange-fronted parakeet,
Belgian Sheepdog,Russian Blue,Lilac rabbit,Orange-winged amazon,
Belgian Shepherd                ,Savannah,Lionhead Rabbit,Pacific parrotlet,
Belgian Shepherd Groenendael                ,Scottish Fold,Liptov Baldspotted Rabbit,Painted parakeet,
Belgian Shepherd Laekenois                ,Selkirk Rex,Magpie,Pale-headed rosella,
Belgian Shepherd Malinois                ,Serengeti,Meissner Lop,Papuan king parrot,
Belgian Shepherd Tervuren                ,Siamese,Mellerud Rabbit,Peach-fronted parakeet,
Belgian Tervuren,Siberian,Mini Lion Lop Rabbit,Pileated parrot,
Bergamasco Sheepdog,Singapura,Mini Lop Rabbit,Plain parakeet,
Bergamasco Shepherd                  ,Snowshoe,Mini Rex Rabbit,Plum-headed parakeet,
Berger Picard,Sokoke,Mini Satin Rabbit,Red-and-green macaw,
Bernedoodle,Somali,Miniature Cashmere Lop,Red-bellied macaw,
Bernese Hound                ,Sphynx,Netherland Dwarf Rabbit,Red-bellied parrot,
Bernese Mountain Dog,Sri Lankan Cat,New Zealand Rabbit,Red-billed parrot,
Bichon Frise,Suphalak,Palomino Rabbit,Red-capped parrot,
Biewer Terrier,Thai,Plush Lop Rabbit,Red-cheeked parrot,
Billy                   ,Tibetan,Pointed Beveren Rabbit,Red-fan parrot,
Black and Tan Coonhound,Tiffanie,Polish Rabbit,Red-fronted parrot,
Black and Tan Hound                  ,Tonkinese,Rex Rabbit,Red-headed lovebird,
Black Mouth Cur,Toybob,Rhinelander Rabbit,Red-lored amazon,
Black Russian Terrier,Toyger,SA Phendula,Red-rumped parrot,
Bloodhound,Turkish Angora,Sable,Red-tailed black cockatoo,
Blue Gascon Griffon                ,Turkish Van,Sachsengold,Red-throated parakeet,
Blue Gascony Basset                   ,Ukrainian Levkoy,Sallander,Red-winged parrot,
Blue Lacy,York Chocolate,Satin Angora Rabbit,Rock parrot,
Blue Picardy Spaniel                ,,Satin Rabbit,Rose-crowned parakeet,
Bluetick Coonhound,,Schwarzgrannen,Rose-faced parrot,
Bocker,,Siamese Sable,Rose-fronted parakeet,
Boerboel,,Siberian,Silver Fox Rabbit,Rose-ringed parakeet
Boglen Terrier,,Silver ,Rosy-faced lovebird,
Bohemian Shepherd,,Silver Fox,R�ppell's parrot,
Bolognese,,Silver Marten Rabbit,Sapphire-rumped parrotlet,
Borador,,Slovenian Rabbit,Scaly-headed parrot,
Border Collie,,Smoke Pearl Rabbit,Scaly-naped amazon,
Border Sheepdog,,Spanish Giant Rabbit,Scarlet macaw,
Border Terrier,,Squirrel,Scarlet-chested parrot,
Bordoodle,,Sussex Rabbit,Senegal parrot,
Borzoi,,Swedish Hare,Short-tailed parrot,
BoShih,,Swiss Fox,Slaty-headed parakeet,
Bosnian Rough-Haired Hound                   ,,Tan rabbit,Slender-billed parakeet,
Bossie,,Teddy Dwarf Rabbit,Solomons cockatoo,
Boston Boxer,,Teddy Lop Rabbit,Southern red-shouldered macaw,
Boston Terrier,,Thrianta Rabbit,Speckle-faced parrot,
Boston Terrier Pekingese Mix,,Thuringer Rabbit,Spectacled parrotlet,
Boulet Griffon                ,,Tri Colored Dutch,Sulphur-breasted parakeet,
Bourbonnais Pointer                ,,Velveteen Lop,Sulphur-crested cockatoo,
Bouvier des Flandres,,Vienna Blue,Sulphur-winged parakeet,
Boxador,,White Vienna Rabbit,Superb parrot,
Boxer,,Zemmouri Rabbit,Tepui parrotlet,
Boxerdoodle,,Zika Rabbit,Tui parakeet,
Boxmatian,,,Turquoise parrot,
Boxweiler,,,Turquoise-fronted amazon,
Boykin Spaniel,,,Turquoise-winged parrotlet,
Bracco Italiano,,,Venezuelan parakeet,
Braque du Bourbonnais,,,Wavy-breasted parakeet,
Brazilian Mastiff                  ,,,Western rosella,
Brazilian Terrier                ,,,White-capped parrot,
Briard,,,White-crowned parrot,
Brittany,,,White-eyed parakeet,
Brittany Basset Hound                   ,,,White-fronted amazon,
Brittany Spaniel               ,,,White-winged parakeet,
Broholmer,,,Yellow-chevroned parakeet,
Brussels Griffon,,,Yellow-collared lovebird,
Bugg,,,Yellow-crowned amazon,
Bull Arab,,,Yellow-faced parrot,
Bull Terrier,,,Yellow-fronted parrot,
Bullador,,,Yellow-tailed black cockatoo,
Bullboxer Pit,,,,
Bulldog,,,,
Bullmastiff,,,,
Bullmatian,,,,
Bull-Pei,,,,
Burgos Pointer                ,,,,
Cairn Terrier,,,,
Canaan Dog,,,,
Canadian Eskimo Dog                  ,,,,
Canary Islands Hound                   ,,,,
Canary Mastiff                   ,,,,
Cane Corso,,,,
Cardigan Welsh Corgi,,,,
Carolina Dog,,,,
Carpathian Shepherd Dog                  ,,,,
Castro Laboreiro Dog                  ,,,,
Catahoula Bulldog,,,,
Catahoula Leopard Dog,,,,
Catalan Sheepdog                ,,,,
Caucasian Shepherd                ,,,,
Caucasian Shepherd Dog,,,,
Cavachon,,,,
Cavador,,,,
Cav-a-Jack,,,,
Cavalier King Charles Spaniel,,,,
Cavapoo,,,,
Central Asian Shepherd       ,,,,
Cesky Fousek                 ,,,,
Cesky Terrier,,,,
Chabrador,,,,
Cheagle,,,,
Chesapeake Bay Retriever,,,,
Chi Chi,,,,
Chigi,,,,
Chihuahua,,,,
Chilier,,,,
Chinese Crested,,,,
Chinese Shar-Pei,,,,
Chinook,,,,
Chion,,,,
Chipin,,,,
Chi-Poo,,,,
Chiweenie,,,,
Chorkie,,,,
Chow Chow,,,,
Chow Shepherd,,,,
Chug,,,,
Chusky,,,,
Cirneco dellâ€™Etna,,,,
Clumber Spaniel,,,,
Cockalier,,,,
Cockapoo,,,,
Cocker Spaniel,,,,
Collie,,,,
Continental Toy Spaniel       ,,,,
Corgi Inu,,,,
Corgidor,,,,
Corman Shepherd,,,,
Corsican Dog                 ,,,,
Coton de Tulear,,,,
Croatian Sheepdog,,,,
Curly-Coated Retriever,,,,
Czech Terrier          ,,,,
Czechoslovakian Wolfdog          ,,,,
Dachsador,,,,
Dachshund,,,,
Dachshund          ,,,,
Dalmatian,,,,
Dandie Dinmont Terrier,,,,
Daniff,,,,
Danish-Swedish Farmdog,,,,
Deutscher Wachtelhund,,,,
Doberdor,,,,
Doberman Pinscher,,,,
Docker,,,,
Dogo Argentino,,,,
Dogue de Bordeaux,,,,
Dorgi,,,,
Dorkie,,,,
Doxiepoo,,,,
Doxle,,,,
Drentsche Patrijshond,,,,
Drentse Partridge Dog         ,,,,
Drever,,,,
Dupuy Pointer           ,,,,
Dutch Schapendoes       ,,,,
Dutch Shepherd,,,,
Dutch Shorthaired Shepherd  ,,,,
Dutch Smoushond             ,,,,
East Siberian Laika             ,,,,
English Black and Tan Terrier          ,,,,
English Bulldog             ,,,,
English Cocker Spaniel,,,,
English Foxhound,,,,
English Pointer               ,,,,
English Setter,,,,
English Springer Spaniel,,,,
English Toy Spaniel,,,,
Entlebucher Mountain Dog,,,,
Estrela Mountain Dog,,,,
Eurasier,,,,
Fawn Brittany Griffon            ,,,,
Field Spaniel,,,,
Fila Brasileiro,,,,
Finnish Hound              ,,,,
Finnish Lapphund,,,,
Finnish Spitz,,,,
Flat-Coated Retriever,,,,
Formosan Mountain Dog          ,,,,
Fox Terrier,,,,
French Bulldog,,,,
French Bullhuahua,,,,
French Mastiff         ,,,,
"French Pointer, Gascogne Type           ",,,,
"French Pointer, Pyrenees Type             ",,,,
French Saint Hubert Hound          ,,,,
French Spaniel,,,,
French Tricolor Hound                 ,,,,
French White and Black Hound        ,,,,
French White and Orange Hound         ,,,,
Frenchton,,,,
Frengle,,,,
Gascon Saintongeois              ,,,,
German Hound        ,,,,
German Hunting Terrier               ,,,,
German Longhaired Pointer,,,,
German Oysel Dog        ,,,,
German Pinscher,,,,
German Roughhaired Pointer    ,,,,
German Shepherd            ,,,,
German Shepherd Pit Bull,,,,
German Shepherd Rottweiler Mix,,,,
German Sheprador,,,,
German Shorthaired Pointer,,,,
German Spitz,,,,
German Wirehaired Pointer,,,,
Giant Schnauzer,,,,
Glen of Imaal Terrier,,,,
Goberian,,,,
Goldador,,,,
Golden Cocker Retriever,,,,
Golden Mountain Dog,,,,
Golden Retriever,,,,
Golden Retriever Corgi,,,,
Golden Shepherd,,,,
Goldendoodle,,,,
Gollie,,,,
Gordon Setter,,,,
Grand Anglo-Français Tricolor            ,,,,
Grand Anglo-Français White and Black       ,,,,
Grand Anglo-Français White and Orange          ,,,,
Grand Basset Griffon Vendéen                ,,,,
Grand Bleu de Gascogne         ,,,,
Grand Griffon Vendéen          ,,,,
Great Dane,,,,
Great Pyrenees,,,,
Great Swiss Mountain Dog,,,,
Greek Hound             ,,,,
Greenland Dog               ,,,,
Greyador,,,,
Greyhound,,,,
Halden Hound               ,,,,
Hamilton Hound           ,,,,
Hamiltonstovare,,,,
Hanoverian Hound        ,,,,
Hanoverian Scenthound,,,,
Harrier,,,,
Havanese,,,,
Havapoo,,,,
Hokkaido,,,,
Horgi,,,,
Hovawart,,,,
Hungarian Short-Haired Pointer               ,,,,
Hungarian Vizsla       ,,,,
Hungarian Wire-Haired Pointer               ,,,,
Huskita,,,,
Huskydoodle,,,,
Hygen Hound             ,,,,
Ibizan Hound,,,,
Icelandic Sheepdog,,,,
Irish Red And White Setter,,,,
Irish Setter,,,,
Irish Terrier,,,,
Irish Water Spaniel,,,,
Irish Wolfhound,,,,
Istrian Coarse-Haired Hound          ,,,,
Istrian Short-Haired Hound              ,,,,
Italian Coarse-Haired Hound             ,,,,
Italian Greyhound,,,,
Italian Pointer             ,,,,
Italian Short-Haired Hound          ,,,,
Italian Volpino              ,,,,
Jack Chi,,,,
Jack Russell Terrier,,,,
Jack-A-Poo,,,,
Jackshund,,,,
Japanese Chin,,,,
Japanese Spaniel               ,,,,
Japanese Spitz,,,,
Japanese Terrier               ,,,,
Jura Hound                ,,,,
Kai                 ,,,,
Kai Ken,,,,
Karelian Bear Dog,,,,
Karst Shepherd          ,,,,
Keeshond,,,,
Kerry Blue Terrier,,,,
King Charles Spaniel               ,,,,
King Shepherd,,,,
Kishu              ,,,,
Kishu Ken,,,,
Komondor,,,,
Kooikerhondje,,,,
Korean Jindo Dog,,,,
Kromfohrländer    ,,,,
Kuvasz,,,,
Kyi-Leo,,,,
Lab Pointer,,,,
Labernese,,,,
Labmaraner,,,,
Labrabull,,,,
Labradane,,,,
Labradoodle,,,,
Labrador Retriever,,,,
Labrastaff,,,,
Labsky,,,,
Lagotto Romagnolo,,,,
Lakeland Terrier,,,,
Lancashire Heeler,,,,
Landseer               ,,,,
Large Brittany Hound                   ,,,,
Large Munsterlander        ,,,,
Leonberger,,,,
Levesque             ,,,,
Lhasa Apso,,,,
Lhasapoo,,,,
Lion Dog              ,,,,
Longhaired Dachshund             ,,,,
Long-Haired Dutch Shepherd        ,,,,
Long-Haired Pyrenean Shepherd      ,,,,
Long-Haired Weimaraner           ,,,,
Lowchen,,,,
Lucerne Hound              ,,,,
Majorca Mastiff                  ,,,,
Majorca Shepherd Dog     ,,,,
Maltese,,,,
Maltese Shih Tzu,,,,
Maltipoo,,,,
Manchester Terrier,,,,
Maremma and Abruzzes Sheepdog     ,,,,
Maremma Sheepdog,,,,
Mastador,,,,
Mastiff,,,,
Mexican Hairless Dog         ,,,,
Miniature Bull Terrier                   ,,,,
Miniature Pinscher,,,,
Miniature Schnauzer,,,,
Montenegrin Mountain Hound                   ,,,,
Morkie,,,,
Mountain Cur,,,,
Mountain Feist,,,,
Mudi,,,,
Mutt (Mixed),,,,
Neapolitan Mastiff,,,,
Newfoundland,,,,
Nivernais Griffon                  ,,,,
Norfolk Terrier,,,,
Norrbottenspets         ,,,,
Northern Inuit Dog,,,,
Norwegian Buhund,,,,
Norwegian Elkhound,,,,
Norwegian Elkhound Black    ,,,,
Norwegian Elkhound Grey                  ,,,,
Norwegian Hound               ,,,,
Norwegian Lundehund,,,,
Norwegian Puffin Dog    ,,,,
Norwich Terrier,,,,
Nova Scotia Duck Tolling Retriever,,,,
Old Danish Pointer                 ,,,,
Old English Sheepdog,,,,
Otterhound,,,,
Papillon,,,,
Papipoo,,,,
Patterdale Terrier,,,,
Peekapoo,,,,
Pekingese,,,,
Pembroke Welsh Corgi,,,,
Peruvian Hairless Dog      ,,,,
Petit Basset Griffon VendÃ©en,,,,
Petit Bleu de Gascogne          ,,,,
Phalène                 ,,,,
Pharaoh Hound,,,,
Picardy Shepherd          ,,,,
Picardy Spaniel         ,,,,
Pitsky,,,,
Plott,,,,
Pocket Beagle,,,,
Pointer,,,,
Poitevin                ,,,,
Polish Greyhound         ,,,,
Polish Hound               ,,,,
Polish Lowland Sheepdog,,,,
Pomapoo,,,,
Pomchi,,,,
Pomeagle,,,,
Pomeranian,,,,
Pomsky,,,,
Pont-Audemer Spaniel         ,,,,
Poochon,,,,
Poodle,,,,
Porcelain              ,,,,
Portuguese Podengo Pequeno,,,,
Portuguese Pointer,,,,
Portuguese Sheepdog,,,,
Portuguese Warren Hound                ,,,,
Portuguese Water Dog,,,,
Posavac Hound          ,,,,
Provence Briquet          ,,,,
Pudelpointer,,,,
Pug,,,,
Pugalier,,,,
Puggle,,,,
Puginese,,,,
Puli,,,,
Pumi               ,,,,
Pyredoodle,,,,
Pyrenean Mastiff,,,,
Pyrenean Mountain Dog     ,,,,
Pyrenean Shepherd,,,,
Rat Terrier,,,,
Redbone Coonhound,,,,
Rhodesian Ridgeback,,,,
Romanian Mioritic Shepherd Dog    ,,,,
Rottador,,,,
Rottle,,,,
Rottweiler,,,,
Rough Collie               ,,,,
Russell Terrier               ,,,,
Russian Black Terrier              ,,,,
Russian Toy               ,,,,
Russo-European Laika               ,,,,
Saarloos Wolfdog                 ,,,,
Saint Berdoodle,,,,
Saint Bernard,,,,
Saint Hubert Hound              ,,,,
Saint Miguel Cattle Dog    ,,,,
Saint Usuge Spaniel                ,,,,
Saint-Germain Pointer             ,,,,
Saluki,,,,
Samoyed,,,,
Samusky,,,,
�arplaninac,,,,
Schiller Hound          ,,,,
Schipperke,,,,
Schnoodle,,,,
Scottish Deerhound,,,,
Scottish Terrier,,,,
Sealyham Terrier,,,,
Serbian Hound             ,,,,
Serbian Tricolour Hound       ,,,,
Shar Pei             ,,,,
Sheepadoodle,,,,
Shepsky,,,,
Shetland Sheepdog,,,,
Shiba Inu,,,,
Shichon,,,,
Shih Tzu,,,,
Shih-Poo,,,,
Shikoku,,,,
Shiloh Shepherd,,,,
Shiranian,,,,
Shollie,,,,
Shorkie,,,,
Short-Haired Weimaraner             ,,,,
Siberian Husky,,,,
Silken Windhound,,,,
Silky Terrier,,,,
Skye Terrier,,,,
Sloughi,,,,
Slovakian Chuvach     ,,,,
Slovakian Hound     ,,,,
Slovakian Wirehaired Pointing Griffon           ,,,,
Smaland Hound          ,,,,
Small Bernese Hound             ,,,,
Small Dutch Water Dog                  ,,,,
Small Jura Hound            ,,,,
Small Lucerne Hound         ,,,,
Small Munsterlander           ,,,,
Small Munsterlander Pointer,,,,
Small Swiss Hound        ,,,,
Smooth Collie              ,,,,
Smooth Dachshund        ,,,,
Smooth Fox Terrier            ,,,,
Smooth-Faced Pyrenean Shepherd     ,,,,
Soft Coated Wheaten Terrier,,,,
South Russian Shepherd     ,,,,
Southeast European Shepherd             ,,,,
Spanish Greyhound               ,,,,
Spanish Hound                  ,,,,
Spanish Mastiff,,,,
Spanish Water Dog            ,,,,
Sporting Lucas Terrier,,,,
Spinone Italiano,,,,
Spitz                 ,,,,
Springador,,,,
Sprocker,,,,
Sprollie,,,,
Stabyhoun,,,,
Staffordshire Bull Terrier,,,,
Staffy Bull Bullmastiff,,,,
Standard Schnauzer,,,,
Standard Poodle,,,,
Styrian Coarse-Haired Hound           ,,,,
Sussex Spaniel,,,,
Swedish Elkhound               ,,,,
Swedish Lapphund,,,,
Swedish Vallhund,,,,
Swiss Hound     ,,,,
Taiwan Dog,,,,
Tatra Shepherd Dog         ,,,,
Terripoo,,,,
Texas Heeler,,,,
Thai Ridgeback,,,,
Tibetan Mastiff,,,,
Tibetan Spaniel,,,,
Tibetan Terrier,,,,
Tornjak               ,,,,
Tosa             ,,,,
Toy Fox Terrier,,,,
Toy Poodle,,,,
Transylvanian Hound,,,,
Treeing Tennessee Brindle,,,,
Treeing Walker Coonhound,,,,
Turkish Kangal,,,,
Tyrolean Hound         ,,,,
Utonagan,,,,
Valley Bulldog,,,,
Vendéen Briquet Griffon       ,,,,
Visigothic Spitz       ,,,,
Vizsla,,,,
Weimaraner,,,,
Welsh Collie,,,,
Welsh Corgi Cardigan,,,,
Welsh Corgi Pembroke,,,,
Welsh Springer Spaniel,,,,
Welsh Terrier,,,,
West Highland White Terrier,,,,
West Siberian Laika               ,,,,
Westiepoo,,,,
Westphalian Dachsbracke                 ,,,,
Wetterhoun                ,,,,
Whippet,,,,
White Swiss Shepherd         ,,,,
Whoodle,,,,
Wire Fox Terrier                ,,,,
Wirehaired Dachshund           ,,,,
Wire-Haired Dutch Shepherd        ,,,,
Wirehaired Pointing Griffon,,,,
Xoloitzcuintli,,,,
Yakutian Laika,,,,
Yochon,,,,
Yorkipoo,,,,
Yorkshire Terrier,,,,
